loss,accuracy,epoch
2.0699970722198486,0.6872459053993225,1
0.1320243775844574,0.9982215166091919,2
0.032592739909887314,0.9984756112098694,3
0.01650506816804409,0.9989837408065796,4
0.010778172872960567,0.9989837408065796,5
0.007538573816418648,0.9984756112098694,6
0.006038594525307417,0.9987296462059021,7
0.0047323438338935375,0.9987296462059021,8
0.0040972549468278885,0.9987296462059021,9
0.003435503225773573,0.9992377758026123,10
0.0036204499192535877,0.9984756112098694,11
0.0029605396557599306,0.9989837408065796,12
0.003023548284545541,0.9982215166091919,13
0.0028106465470045805,0.9989837408065796,14
0.0027685353998094797,0.9984756112098694,15
0.0022409504745155573,0.9989837408065796,16
0.0028193285688757896,0.9982215166091919,17
0.002499860478565097,0.9987296462059021,18
0.0025769518688321114,0.9982215166091919,19
0.0024480419233441353,0.9984756112098694,20
