loss,accuracy,epoch
1.925600528717041,0.7489837408065796,1
0.0637902095913887,1.0,2
0.0145717179402709,1.0,3
0.006814699154347181,1.0,4
0.003976303152740002,1.0,5
0.0025616129860281944,1.0,6
0.0017891889438033104,1.0,7
0.0013060040073469281,1.0,8
0.0009924466721713543,1.0,9
0.000767464516684413,1.0,10
0.0006081179599277675,1.0,11
0.00048454722855240107,1.0,12
0.00039146142080426216,1.0,13
0.0003216038167010993,1.0,14
0.00026872073067352176,1.0,15
0.00022068175894673914,1.0,16
0.0001873146102298051,1.0,17
0.00015645490202587098,1.0,18
0.00013134504843037575,1.0,19
0.0001123557158280164,1.0,20
