mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__batch_size,param_clf__epochs,param_clf__layers,param_clf__optimizer,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
1.8077048778533935,0.07409697753542938,0.19103341102600097,0.01564324038742286,16,5,"[64, 32]",adam,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.6153698444366456,0.04780672708417697,0.1842245101928711,0.010898238010689659,16,5,"[64, 32]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",0.7611788617886179,0.7479674796747967,0.7916666666666666,0.6636178861788617,0.6778455284552846,0.7284552845528455,0.049421600003406285,28,0.7040234996728737,0.7235639301763304,0.7341194623032911,0.5972813258438291,0.6159203685344975,0.6749817173061643,0.05696757527905016,28
1.9459590911865234,0.04846270395108776,0.2083296775817871,0.04729985526266705,16,5,"[128, 64]",adam,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [128, 64], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.6840615749359131,0.04495714332874935,0.18033018112182617,0.004597732918388521,16,5,"[128, 64]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [128, 64], 'clf__optimizer': 'sgd'}",0.9979674796747967,0.967479674796748,0.9471544715447154,0.9563008130081301,0.9939024390243902,0.9725609756097562,0.020182425345213664,26,0.997956329484925,0.9603861305966686,0.9315639095577005,0.9444651384480134,0.9938573958913588,0.9656457807957333,0.026373184337370955,26
3.252196741104126,0.21045928570246691,0.20543284416198732,0.014186186356047417,16,10,"[64, 32]",adam,"{'clf__batch_size': 16, 'clf__epochs': 10, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.770152378082275,0.06310728846628563,0.18683180809020997,0.0037630810479906424,16,10,"[64, 32]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 10, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3.462812328338623,0.04773950399620385,0.18842124938964844,0.001497647349952073,16,10,"[128, 64]",adam,"{'clf__batch_size': 16, 'clf__epochs': 10, 'clf__layers': [128, 64], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2.9684245586395264,0.04557194914193345,0.18542675971984862,0.0013535556838111256,16,10,"[128, 64]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 10, 'clf__layers': [128, 64], 'clf__optimizer': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5.648312330245972,0.14417495856603132,0.18671908378601074,0.0026409963932098363,16,20,"[64, 32]",adam,"{'clf__batch_size': 16, 'clf__epochs': 20, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5.431114339828492,0.3212910015612717,0.1991283416748047,0.016102490356224176,16,20,"[64, 32]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 20, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6.525459051132202,0.18289906887407212,0.2013258457183838,0.010218223570306233,16,20,"[128, 64]",adam,"{'clf__batch_size': 16, 'clf__epochs': 20, 'clf__layers': [128, 64], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6.149542140960693,0.32821171290262235,0.20533347129821777,0.005562305628256993,16,20,"[128, 64]",sgd,"{'clf__batch_size': 16, 'clf__epochs': 20, 'clf__layers': [128, 64], 'clf__optimizer': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.2318439960479737,0.03336410163341945,0.21152958869934083,0.0050985668140693064,32,5,"[64, 32]",adam,"{'clf__batch_size': 32, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.0266187191009521,0.08041786320570371,0.2104325771331787,0.015247072791425308,32,5,"[64, 32]",sgd,"{'clf__batch_size': 32, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",0.44613821138211385,0.38414634146341464,0.4410569105691057,0.39227642276422764,0.46646341463414637,0.4260162601626017,0.03212025252055577,33,0.36625911117806687,0.30049457929469126,0.34835409072742807,0.291533697432885,0.379487259748962,0.3372257476764067,0.03518452445062156,33
1.2591188907623292,0.04607003794578462,0.2080315113067627,0.007954390130601044,32,5,"[128, 64]",adam,"{'clf__batch_size': 32, 'clf__epochs': 5, 'clf__layers': [128, 64], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.1165552616119385,0.047229185095154655,0.2152338981628418,0.004164567325312158,32,5,"[128, 64]",sgd,"{'clf__batch_size': 32, 'clf__epochs': 5, 'clf__layers': [128, 64], 'clf__optimizer': 'sgd'}",0.5853658536585366,0.6310975609756098,0.75,0.7276422764227642,0.7530487804878049,0.689430894308943,0.06842261642538676,31,0.5431620637811339,0.5570175414252045,0.7072429046749389,0.6867850509222928,0.7126878814917803,0.6413790884590701,0.07516401031350667,29
1.8135560989379882,0.025822748214511568,0.19803390502929688,0.002286918639527451,32,10,"[64, 32]",adam,"{'clf__batch_size': 32, 'clf__epochs': 10, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.6207126140594483,0.026803115282961427,0.20492973327636718,0.017081237006068537,32,10,"[64, 32]",sgd,"{'clf__batch_size': 32, 'clf__epochs': 10, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",0.6808943089430894,0.7947154471544715,0.7794715447154471,0.5538617886178862,0.6626016260162602,0.6943089430894308,0.08745838363323127,30,0.617904554835163,0.7403069849387517,0.7290834366800781,0.481195150972171,0.5658616804141384,0.6268703615680604,0.09832506505898518,31
2.0180860996246337,0.044734887349500776,0.1984259605407715,0.0014963312798533124,32,10,"[128, 64]",adam,"{'clf__batch_size': 32, 'clf__epochs': 10, 'clf__layers': [128, 64], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1.8993184566497803,0.05690079446501799,0.20842947959899902,0.005887500737136532,32,10,"[128, 64]",sgd,"{'clf__batch_size': 32, 'clf__epochs': 10, 'clf__layers': [128, 64], 'clf__optimizer': 'sgd'}",0.9684959349593496,0.9644308943089431,0.9939024390243902,0.8770325203252033,0.9613821138211383,0.953048780487805,0.03971172311970811,27,0.9643289084770805,0.9533566046559709,0.9938818758532514,0.8421279012249576,0.9537664457263615,0.9414923471875245,0.05182832906242533,27
3.6525972843170167,0.09426850592573736,0.21423377990722656,0.009252965902362048,32,20,"[64, 32]",adam,"{'clf__batch_size': 32, 'clf__epochs': 20, 'clf__layers': [64, 32], 'clf__optimizer': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3.1494441986083985,0.12104390979146314,0.2156322956085205,0.02213324672910081,32,20,"[64, 32]",sgd,"{'clf__batch_size': 32, 'clf__epochs': 20, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd'}",0.9989837398373984,1.0,1.0,1.0,0.9979674796747967,0.999390243902439,0.0008130081300813108,24,0.998988839350759,1.0,1.0,1.0,0.9979674796747968,0.999391263805111,0.0008125005792119573,24
