mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.02190241813659668,0.0006398202978848284,0.007601499557495117,0.0004926191503854063,5,sqrt,1,2,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}",0.6971544715447154,0.665650406504065,0.5335365853658537,0.592479674796748,0.7164634146341463,0.6410569105691057,0.06834952144985713,212,0.6796237934567281,0.6427673053040281,0.5184677163225063,0.5807443469799459,0.7060652447449188,0.6255336813616255,0.06808417740667519,212
0.07297859191894532,0.002827012362142135,0.009200239181518554,0.00039730633440047963,5,sqrt,1,2,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.9613821138211383,0.9014227642276422,0.9085365853658537,0.959349593495935,0.959349593495935,0.9380081300813009,0.027071461651662503,176,0.9528530896756413,0.884145803959729,0.8968641318315944,0.9503953116396541,0.9554165591340311,0.92793497924813,0.030865856291574047,177
0.1454453468322754,0.004921943229845014,0.01338653564453125,0.0028705823951279672,5,sqrt,1,2,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9695121951219512,0.9613821138211383,0.9888211382113821,0.9613821138211383,0.9573170731707317,0.9676829268292684,0.011287352338955118,158,0.9645227456836039,0.951936368455653,0.9892721360592929,0.9536995855252671,0.9473272655528832,0.96135162025534,0.015056522613290482,160
0.021809720993041994,0.0009293645830930937,0.0076067447662353516,0.0004950263777708988,5,sqrt,1,5,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 10}",0.6900406504065041,0.7378048780487805,0.5955284552845529,0.6717479674796748,0.7215447154471545,0.6833333333333333,0.049630966785223475,205,0.6820119261251038,0.723196865421741,0.582385250846051,0.6493218171836855,0.7065910181833019,0.6687013755519766,0.0498168542929676,204
0.07745256423950195,0.0040412753375668065,0.010002517700195312,0.0015472251208327418,5,sqrt,1,5,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.9065040650406504,0.9461382113821138,0.899390243902439,0.806910569105691,0.9054878048780488,0.8928861788617886,0.04607414699105278,193,0.895605476537427,0.9433608000603666,0.8795556561019904,0.7834826390204931,0.8983742132278523,0.8800757569896259,0.05274751806546593,193
0.1406491756439209,0.005465872217339611,0.012549448013305663,0.0027735852122545974,5,sqrt,1,5,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9989837398373984,0.9532520325203252,0.9867886178861789,0.9603658536585366,0.9959349593495935,0.9790650406504066,0.018745524065315194,151,0.9989841811140647,0.9432540427382374,0.9867925203614883,0.9512853988273196,0.9960029844202573,0.9752638254922734,0.023346391269483305,151
0.019405364990234375,0.000536713361881979,0.007184839248657227,0.0004360199756822491,5,sqrt,1,10,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 10}",0.7052845528455285,0.584349593495935,0.5060975609756098,0.6422764227642277,0.7520325203252033,0.6380081300813008,0.08697762211413039,213,0.6949162556609847,0.5641235843331056,0.4972321163395486,0.6156446068415686,0.7428250887083102,0.6229483303767036,0.08816811334516071,213
0.07166776657104493,0.002174661651240461,0.00942234992980957,0.0004147659252804208,5,sqrt,1,10,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.866869918699187,0.9237804878048781,0.8760162601626016,0.9186991869918699,0.9806910569105691,0.913211382113821,0.04056189550930554,190,0.8599038049107384,0.9172520255329545,0.8652051091079803,0.9050840432503622,0.9817541324295287,0.9058398230463129,0.04394334915963651,189
0.1440920352935791,0.00417752790968329,0.011620759963989258,0.0007847225099864791,5,sqrt,1,10,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.9898373983739838,0.9623983739837398,0.9817073170731707,0.9522357723577236,0.967479674796748,0.9707317073170731,0.01347301903998093,157,0.9907852195666909,0.9535953883514859,0.9829210347352461,0.9446293969132799,0.956980537481316,0.9657823154096038,0.017845556103089244,157
0.01991281509399414,0.0007994514851180513,0.007297611236572266,0.0003948566575154938,5,sqrt,2,2,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}",0.6036585365853658,0.6504065040650406,0.6321138211382114,0.641260162601626,0.5436991869918699,0.6142276422764228,0.03858899218601656,215,0.5894113477799597,0.640690502158711,0.6139823287820939,0.6083141723520562,0.5231333540602373,0.5951063410266116,0.039550497516782294,215
