mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__batch_size,param_clf__epochs,param_clf__layers,param_clf__optimizer,param_preproc__k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
1.7509291172027588,0.039078365629630955,0.15212688446044922,0.006302039928632295,16,5,"[64, 32]",adam,80,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam', 'preproc__k': 80}",0.7621951219512195,0.7367886178861789,0.7408536585365854,0.7367886178861789,0.7520325203252033,0.7457317073170732,0.009944820994085422,118,0.7457377511189661,0.7282764624937302,0.7245815246775144,0.7283055312080595,0.7394113963379977,0.7332625331672535,0.007977872633967176,116
1.7956984996795655,0.06443580840580622,0.14572649002075194,0.012637564345742779,16,5,"[64, 32]",adam,90,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam', 'preproc__k': 90}",0.8729674796747967,0.8709349593495935,0.8313008130081301,0.8932926829268293,0.8902439024390244,0.8717479674796749,0.022110607729223443,74,0.8617693402566381,0.8646618942098332,0.8184601813754926,0.8882971246487122,0.8851061799945221,0.8636589440970397,0.024958078979361385,71
1.954892873764038,0.12527940818962316,0.15002031326293946,0.007552370156506137,16,5,"[64, 32]",adam,100,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam', 'preproc__k': 100}",0.931910569105691,0.9126016260162602,0.891260162601626,0.9105691056910569,0.9166666666666666,0.9126016260162603,0.013030341808800493,48,0.9216891599182556,0.8976056793842088,0.8761039011065522,0.897679805872291,0.9069538313730788,0.9000064755308772,0.01483856349778694,48
2.0074821949005126,0.13398786758646597,0.15141987800598145,0.013044598649755861,16,5,"[64, 32]",adam,110,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam', 'preproc__k': 110}",0.9563008130081301,0.9359756097560976,0.9400406504065041,0.9512195121951219,0.9715447154471545,0.9510162601626015,0.012618006662738813,35,0.9466850966958287,0.9239549508858452,0.9294824920797936,0.9400192541447473,0.9644832436566247,0.940925007492568,0.014197911734653335,35
1.9418477058410644,0.15292715439329052,0.18192825317382813,0.05469691934901207,16,5,"[64, 32]",adam,120,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'adam', 'preproc__k': 120}",0.9979674796747967,0.9969512195121951,0.9989837398373984,0.9989837398373984,0.9979674796747967,0.9981707317073172,0.0007604994688565126,6,0.997932528928464,0.9968888137708668,0.9989824113927414,0.9989833638624955,0.9979639448568399,0.9981502125622816,0.0007822921086105916,13
1.7856785297393798,0.11477899475516513,0.19052591323852539,0.07336279747852822,16,5,"[64, 32]",sgd,80,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd', 'preproc__k': 80}",0.3201219512195122,0.46239837398373984,0.38109756097560976,0.5335365853658537,0.4095528455284553,0.4213414634146342,0.07249461792345009,159,0.2603926947572855,0.40397876701314184,0.318731336435955,0.4739515306223091,0.3394878034123596,0.35930842644821015,0.07343318046796452,159
1.636305809020996,0.04338922631214989,0.13842196464538575,0.004757100819486695,16,5,"[64, 32]",sgd,90,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd', 'preproc__k': 90}",0.44410569105691056,0.358739837398374,0.3617886178861789,0.41565040650406504,0.6189024390243902,0.4398373983739837,0.09522178764663124,157,0.35395839075157026,0.27710509213413576,0.2792673192583695,0.36048026791909593,0.5592518188811565,0.36601257778886553,0.10290441687169542,158
1.6469530582427978,0.11770905318749826,0.14642200469970704,0.009811611743141007,16,5,"[64, 32]",sgd,100,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd', 'preproc__k': 100}",0.5050813008130082,0.5619918699186992,0.516260162601626,0.42073170731707316,0.5701219512195121,0.5148373983739838,0.05335356174981542,151,0.43267531965669054,0.5102807709275691,0.4539882955328843,0.36447989164287276,0.49707244542479034,0.45169934463696143,0.051893906356308035,151
1.5933924198150635,0.12672077021572759,0.1726240634918213,0.054549108128390304,16,5,"[64, 32]",sgd,110,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd', 'preproc__k': 110}",0.5294715447154471,0.6463414634146342,0.6361788617886179,0.4400406504065041,0.6270325203252033,0.5758130081300813,0.07977894719220627,143,0.4423329641077546,0.5909398072709396,0.5772814465986584,0.32816511669922116,0.581106602386967,0.5039651874127082,0.10353246068467108,143
1.4913094520568848,0.05174773367784011,0.14632720947265626,0.005715644154903278,16,5,"[64, 32]",sgd,120,"{'clf__batch_size': 16, 'clf__epochs': 5, 'clf__layers': [64, 32], 'clf__optimizer': 'sgd', 'preproc__k': 120}",0.6026422764227642,0.5985772357723578,0.5772357723577236,0.6117886178861789,0.5599593495934959,0.5900406504065041,0.01883346977009819,140,0.5228739112546356,0.5213706033815202,0.49983855216985834,0.5237086623373276,0.4615844718096986,0.5058752401906081,0.02385458366794785,142
