mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__algorithm,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_preproc__k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.01981320381164551,0.002232618371647816,0.14259233474731445,0.005714491879808973,auto,3,1,uniform,80,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'preproc__k': 80}",0.7571138211382114,0.7510162601626016,0.7439024390243902,0.7357723577235772,0.7591463414634146,0.749390243902439,0.008637613561331628,195,0.7442247113132433,0.7324995675650714,0.7255692088117813,0.7280486546914594,0.7414857001820815,0.7343655685127274,0.007330215215125833,195
0.019776344299316406,0.002073953833289668,0.15265631675720215,0.0036724348985884827,auto,3,1,uniform,90,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'preproc__k': 90}",0.8363821138211383,0.8485772357723578,0.834349593495935,0.8628048780487805,0.8485772357723578,0.8461382113821138,0.010235510822775743,189,0.8133794438497505,0.8374273390052861,0.8198355558392518,0.8619405593315707,0.8278478588221354,0.8320861513695987,0.016957565160828122,189
0.01868739128112793,0.0005757299858814469,0.16096277236938478,0.003035661673886202,auto,3,1,uniform,100,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'preproc__k': 100}",0.9227642276422764,0.9186991869918699,0.8902439024390244,0.8800813008130082,0.8963414634146342,0.9016260162601626,0.01649224615861851,133,0.9153577691305212,0.9021311521311521,0.8755151522660437,0.8700970532590506,0.874217035267503,0.8874636324108541,0.017961378472521727,133
0.019687843322753907,0.0009884173803165993,0.17481374740600586,0.005279522290086338,auto,3,1,uniform,110,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'preproc__k': 110}",0.948170731707317,0.9451219512195121,0.9441056910569106,0.9512195121951219,0.9715447154471545,0.9520325203252031,0.010068671606911266,55,0.9401152623375113,0.9317882610565537,0.932648210884181,0.9400192541447473,0.9644832436566247,0.9418108464159237,0.01187037077809,55
0.01959648132324219,0.001122377410862443,0.19991726875305177,0.024513857061485286,auto,3,1,uniform,120,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'preproc__k': 120}",0.9979674796747967,0.9969512195121951,0.9989837398373984,0.9989837398373984,0.9939024390243902,0.9973577235772358,0.001884881808027594,39,0.997932528928464,0.9968888137708668,0.9989841811140647,0.9989833638624955,0.993934956667726,0.9973447688687234,0.0018736511014032695,39
0.01933708190917969,0.0010523766870635283,0.12630863189697267,0.001538428040759151,auto,3,1,distance,80,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'preproc__k': 80}",0.7571138211382114,0.7510162601626016,0.7439024390243902,0.7357723577235772,0.7591463414634146,0.749390243902439,0.008637613561331628,195,0.7442247113132433,0.7324995675650714,0.7255692088117813,0.7280486546914594,0.7414857001820815,0.7343655685127274,0.007330215215125833,195
0.0184295654296875,0.0005096620469607336,0.13124194145202636,0.001709825781462563,auto,3,1,distance,90,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'preproc__k': 90}",0.8363821138211383,0.8485772357723578,0.834349593495935,0.8628048780487805,0.8485772357723578,0.8461382113821138,0.010235510822775743,189,0.8133794438497505,0.8374273390052861,0.8198355558392518,0.8619405593315707,0.8278478588221354,0.8320861513695987,0.016957565160828122,189
0.018207311630249023,0.0007249940573060517,0.14497699737548828,0.002935889680720242,auto,3,1,distance,100,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'preproc__k': 100}",0.9227642276422764,0.9186991869918699,0.8902439024390244,0.8800813008130082,0.8963414634146342,0.9016260162601626,0.01649224615861851,133,0.9153577691305212,0.9021311521311521,0.8755151522660437,0.8700970532590506,0.874217035267503,0.8874636324108541,0.017961378472521727,133
0.018546247482299806,0.001205952269868546,0.15244474411010742,0.001013145063192577,auto,3,1,distance,110,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'preproc__k': 110}",0.948170731707317,0.9451219512195121,0.9441056910569106,0.9512195121951219,0.9715447154471545,0.9520325203252031,0.010068671606911266,55,0.9401152623375113,0.9317882610565537,0.932648210884181,0.9400192541447473,0.9644832436566247,0.9418108464159237,0.01187037077809,55
0.019201183319091798,0.0006712440351298354,0.1636730194091797,0.002381289814710462,auto,3,1,distance,120,"{'clf__algorithm': 'auto', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'preproc__k': 120}",0.9979674796747967,0.9969512195121951,0.9989837398373984,0.9989837398373984,0.9989837398373984,0.9983739837398374,0.0008130081300813218,1,0.997932528928464,0.9968888137708668,0.9989841811140647,0.9989833638624955,0.998983298560732,0.9983544372473245,0.0008382900906888609,1
