mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,param_clf__solver,param_preproc__k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.06107778549194336,0.0048162339276527286,0.007775640487670899,0.00040143485960622116,0.01,l2,lbfgs,80,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 80}",0.7184959349593496,0.7367886178861789,0.7327235772357723,0.7357723577235772,0.7479674796747967,0.734349593495935,0.009459411608309008,50,0.6991437410059326,0.7282764624937302,0.7209045161085478,0.7280486546914594,0.7385028639607486,0.7229752476520838,0.013169493871554342,50
0.06832199096679688,0.01044487647866099,0.00819859504699707,0.00040061999901948536,0.01,l2,lbfgs,90,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 90}",0.8638211382113821,0.8617886178861789,0.8262195121951219,0.8495934959349594,0.8607723577235772,0.8524390243902438,0.01401407656580342,40,0.8576295872099632,0.8604186144590382,0.8164735337424862,0.8421975346206346,0.8476747954903048,0.8448788131044853,0.015658443944855282,40
0.06370086669921875,0.004105964253843034,0.007703924179077148,0.0004023707398808597,0.01,l2,lbfgs,100,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 100}",0.9237804878048781,0.9095528455284553,0.8861788617886179,0.866869918699187,0.891260162601626,0.8955284552845528,0.019605130978516273,30,0.9163980856171382,0.8956005058571495,0.8733592977984502,0.8504897072263529,0.8712850798081275,0.8814265352614437,0.02257843016951139,30
0.0710209846496582,0.006033619175548753,0.008194923400878906,0.0007557363974611302,0.01,l2,lbfgs,110,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 110}",0.948170731707317,0.9359756097560976,0.9400406504065041,0.9146341463414634,0.9705284552845529,0.9418699186991869,0.0181156747602904,20,0.9401152623375113,0.9239549508858452,0.9294824920797936,0.8963399454691376,0.9634694647710158,0.9306724231086608,0.02186354291641812,20
0.08149251937866211,0.005978094835611129,0.008048629760742188,7.527242696227103e-05,0.01,l2,lbfgs,120,"{'clf__C': 0.01, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 120}",1.0,0.967479674796748,0.9989837398373984,0.9989837398373984,0.9979674796747967,0.9926829268292684,0.012618006662738811,10,1.0,0.9583068823146084,0.9989824113927414,0.9989833638624955,0.9979639448568399,0.9908473204853371,0.016282953706210385,10
0.07052798271179199,0.005263002632295049,0.008421754837036133,0.00047391443023604826,0.05,l2,lbfgs,80,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 80}",0.7530487804878049,0.7367886178861789,0.7347560975609756,0.7357723577235772,0.7479674796747967,0.7416666666666667,0.007423570068190926,41,0.7432440833251454,0.7282764624937302,0.7229190060115114,0.7280486546914594,0.7385028639607486,0.732198214096519,0.007489492886723513,41
0.07092823982238769,0.005332743558299762,0.007220602035522461,0.0003918834365260295,0.05,l2,lbfgs,90,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 90}",0.8638211382113821,0.8617886178861789,0.8262195121951219,0.8790650406504065,0.8861788617886179,0.8634146341463413,0.020733699888303425,31,0.8576295872099632,0.8604186144590382,0.8164735337424862,0.8800266815688206,0.883343547055256,0.8595783928071128,0.02385559791906876,31
0.07696866989135742,0.004093207614559391,0.007709121704101563,0.0003922763011147992,0.05,l2,lbfgs,100,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 100}",0.9237804878048781,0.9095528455284553,0.8861788617886179,0.8963414634146342,0.915650406504065,0.9063008130081303,0.01347301903998093,21,0.9163980856171382,0.8956005058571495,0.8733592977984502,0.8881366773981431,0.9059367232670791,0.8958862579875919,0.014760409980715204,21
0.07869977951049804,0.005425135295900257,0.007796239852905273,0.00040089958663163495,0.05,l2,lbfgs,110,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 110}",0.948170731707317,0.9359756097560976,0.9400406504065041,0.9441056910569106,0.9715447154471545,0.9479674796747968,0.012469806219656876,11,0.9401152623375113,0.9239549508858452,0.9294824920797936,0.9341690924173236,0.9644832436566247,0.9384410082754198,0.014066636318143092,11
0.09225187301635743,0.0036183985004190965,0.008041095733642579,0.0006315204104149129,0.05,l2,lbfgs,120,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 120}",1.0,0.9969512195121951,0.9989837398373984,0.9989837398373984,0.9979674796747967,0.9985772357723578,0.0010363860799985445,1,1.0,0.9968888137708668,0.9989841811140647,0.9989833638624955,0.9979639448568399,0.9985640607208535,0.001056487508346323,1
0.08362140655517578,0.008720938652443385,0.008017301559448242,1.7986939783859145e-05,0.1,l2,lbfgs,80,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs', 'preproc__k': 80}",0.7530487804878049,0.7367886178861789,0.7347560975609756,0.7317073170731707,0.7479674796747967,0.7408536585365854,0.008205946844791196,47,0.7432440833251454,0.7282764624937302,0.7229190060115114,0.7240004465075142,0.7385028639607486,0.73138857245973,0.008089121964570912,47
