mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_preproc__k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.030887413024902343,0.0010951644049913246,0.007219696044921875,0.0004106772752196767,5,sqrt,1,2,10,80,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'preproc__k': 80}",0.6097560975609756,0.5294715447154471,0.4573170731707317,0.6056910569105691,0.5701219512195121,0.5544715447154471,0.05654864592138645,1069,0.6032237970396596,0.5180807968044421,0.4374302844316912,0.5994487979893373,0.5606972510351251,0.5437761854600511,0.06146459864385109,1069
0.03411941528320313,0.0019573591121656306,0.008229970932006836,0.00045795019641165744,5,sqrt,1,2,10,90,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'preproc__k': 90}",0.592479674796748,0.6849593495934959,0.5813008130081301,0.5650406504065041,0.5823170731707317,0.6012195121951219,0.04278250096464372,1040,0.5849702815150116,0.6812777799871024,0.5706086984006331,0.5439001874064736,0.5751189967490129,0.5911751888116468,0.047058868240383245,1037
0.03650822639465332,0.001607266844463522,0.008508396148681641,0.001020830350547875,5,sqrt,1,2,10,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'preproc__k': 100}",0.5416666666666666,0.6737804878048781,0.5538617886178862,0.6219512195121951,0.6758130081300813,0.6134146341463415,0.057104778961918,1026,0.5270108615539288,0.6691397940098488,0.532634631466475,0.6116774852577221,0.66346541434892,0.600785637327379,0.061330179642416285,1025
0.04085721969604492,0.0049635922899379376,0.01080336570739746,0.0021263945031179403,5,sqrt,1,2,10,110,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'preproc__k': 110}",0.6097560975609756,0.5975609756097561,0.44613821138211385,0.6951219512195121,0.625,0.5947154471544716,0.0816187887513799,1046,0.5983879565370354,0.5784505251361545,0.43026228835290586,0.6847920668348941,0.6184345547627682,0.5820654783247516,0.08390370835077668,1047
0.03887219429016113,0.0022700909212525523,0.008837556838989258,0.0007120869634394442,5,sqrt,1,2,10,120,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10, 'preproc__k': 120}",0.7510162601626016,0.7489837398373984,0.5315040650406504,0.6046747967479674,0.7916666666666666,0.6855691056910568,0.09984123824082032,989,0.744643546093716,0.7395121356885722,0.5153716835320079,0.5711329290198512,0.7799531829591934,0.6701226954586682,0.10599795953821982,991
0.08383421897888184,0.0022121751104645245,0.009797382354736327,0.0007428312043142205,5,sqrt,1,2,50,80,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'preproc__k': 80}",0.7286585365853658,0.7347560975609756,0.709349593495935,0.7367886178861789,0.7479674796747967,0.7315040650406505,0.012715847414322799,936,0.7182187898345764,0.7272248043616847,0.698261835103011,0.7283055312080595,0.7385028639607486,0.7221027648936161,0.013543618742534149,936
0.0804788589477539,0.0023476460832175697,0.009487676620483398,0.0003384376176770672,5,sqrt,1,2,50,90,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'preproc__k': 90}",0.834349593495935,0.8607723577235772,0.7926829268292683,0.8252032520325203,0.883130081300813,0.8392276422764228,0.030914360202546076,710,0.8321399243657911,0.8598814265327512,0.7856981256368019,0.8212099835235417,0.8816842559576525,0.8361227432033077,0.03292786595544998,700
0.08470387458801269,0.0046154563404487,0.009380245208740234,0.000513188126688736,5,sqrt,1,2,50,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'preproc__k': 100}",0.8689024390243902,0.8384146341463414,0.8160569105691057,0.8008130081300813,0.9126016260162602,0.8473577235772357,0.03986746003639377,687,0.8616636623065866,0.82656315171906,0.7971843855233914,0.7922410630908012,0.904645425553225,0.8364595376386129,0.042143357080946436,699
0.0831329345703125,0.0037251565219510456,0.0097564697265625,0.000739070485756132,5,sqrt,1,2,50,110,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'preproc__k': 110}",0.9065040650406504,0.8780487804878049,0.875,0.7896341463414634,0.8821138211382114,0.866260162601626,0.03989439261308639,528,0.9040038585582619,0.8649395114659336,0.8687784703936072,0.7666383206022427,0.8729240692002164,0.8554568460440525,0.046514585646468876,621
0.08197236061096191,0.003314014915080417,0.00930633544921875,0.0003865128470070386,5,sqrt,1,2,50,120,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50, 'preproc__k': 120}",0.983739837398374,0.9441056910569106,0.8760162601626016,0.9034552845528455,0.967479674796748,0.9349593495934959,0.03996888041893705,290,0.984921005825583,0.9392749674000873,0.8588047950754625,0.8945199481700041,0.961050591455267,0.9277142615852808,0.04553668721479806,284
