mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.02056584358215332,0.0014976934009777872,0.006588554382324219,0.000488540382281226,5,sqrt,1,2,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}",0.6646341463414634,0.6565040650406504,0.6666666666666666,0.6585365853658537,0.7804878048780488,0.6853658536585365,0.04770840883028749,211,0.658116596709457,0.6583965815210505,0.6531636620714034,0.6232645403377112,0.7605321507760532,0.670694706283135,0.04677002736559715,210
0.07010316848754883,0.001386399506900171,0.009043645858764649,0.0006272956272577849,5,sqrt,1,2,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.975609756097561,0.9766260162601627,0.9634146341463414,0.9512195121951219,1.0,0.9733739837398374,0.01621436640258468,181,0.9755479399373135,0.9778893648263024,0.9586786852303,0.9349593495934959,1.0,0.9694150679174823,0.02166716564865006,182
0.15030736923217775,0.01575378512254631,0.01202535629272461,0.0020853315987239005,5,sqrt,1,2,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9928861788617886,1.0,0.9898373983739838,1.0,1.0,0.9965447154471544,0.004340275712207836,142,0.9929902480610483,1.0,0.9898703067788791,1.0,1.0,0.9965721109679855,0.004312660221270221,142
0.020730113983154295,0.0014819546208085916,0.007602977752685547,0.000502549795344025,5,sqrt,1,5,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 10}",0.7754065040650406,0.6321138211382114,0.6747967479674797,0.6341463414634146,0.6341463414634146,0.6701219512195122,0.05502689840330965,213,0.7569112291759477,0.621111927417588,0.6293963888505606,0.6126255380200861,0.612625538020086,0.6465341242968536,0.05553859882723685,213
0.07374258041381836,0.0027390521339910536,0.009587669372558593,0.00048644961908406837,5,sqrt,1,5,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.9796747967479674,0.9654471544715447,0.9949186991869918,1.0,0.9512195121951219,0.9782520325203251,0.018152124846964317,179,0.9803478312788555,0.9631964910802214,0.9949350218190207,1.0,0.9349593495934959,0.9746877387543187,0.023635115259627287,179
0.1340158462524414,0.004380559458011047,0.010778045654296875,0.0007317510403685046,5,sqrt,1,5,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9959349593495935,0.9898373983739838,0.9979674796747967,1.0,1.0,0.9967479674796749,0.0037697636160551502,139,0.996002936617995,0.9898193761879097,0.9979665971214641,1.0,1.0,0.9967577819854737,0.003773498532685834,139
0.018442249298095702,0.0007873704554062529,0.006879949569702148,0.0006917208549161801,5,sqrt,1,10,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 10}",0.6808943089430894,0.6920731707317073,0.6869918699186992,0.5853658536585366,0.7560975609756098,0.6802845528455285,0.05466535113500567,212,0.6507400734853604,0.6692293101930896,0.6463799155059238,0.5475848876135819,0.7203252032520324,0.6468518780099977,0.056157555481435764,212
0.07025327682495117,0.0013599792213198417,0.00896906852722168,3.291661853212802e-05,5,sqrt,1,10,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 50}",0.9806910569105691,0.9786585365853658,0.9928861788617886,1.0,0.9512195121951219,0.9806910569105691,0.016698858460523377,174,0.9809638544312642,0.978607577242497,0.9928244468519115,1.0,0.9390243902439024,0.9782840537539151,0.021126346256958486,174
0.13113102912902833,0.0020730766861659635,0.011139917373657226,0.0004271002609990281,5,sqrt,1,10,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.9928861788617886,0.9928861788617886,0.9979674796747967,1.0,1.0,0.9967479674796749,0.0032393043598595815,139,0.9928740724420902,0.9928269035785727,0.9979670383981304,1.0,1.0,0.9967336028837586,0.0032563273208139976,140
0.019558191299438477,0.001463888623426382,0.006509113311767578,0.0004472711803005906,5,sqrt,2,2,10,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}",0.8099593495934959,0.7042682926829268,0.681910569105691,0.8048780487804879,0.8048780487804879,0.7611788617886178,0.05607325383600008,205,0.794661222789654,0.6999693613558684,0.6699237591954625,0.7728222996515679,0.7723577235772358,0.7419468733139578,0.0481795701172766,204
